PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,Standard Type,Standard Relation,Standard Value,Standard Units
,,,STRING,STRING,FLOAT,STRING
,,,Standardized activity type (e.g. IC50 rather than Ic-50/Ic50/ic50/ic-50),"Qualifier (e.g. >, <, =) for 'Standard Value'",Standardized activity value transformed to common units: e.g. mM concentrations converted to nM,Selected units for 'Standard Type': e.g. concentrations are in nM
103513368,3902,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,F,=,99.9,%
103516975,74989,C1CC(CCC1C2=CC=C(C=C2)Cl)C3=C(C4=CC=CC=C4C(=O)C3=O)O,F,=,23,%
103519121,4197,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2,F,=,92,%
103520217,2153,CN1C2=C(C(=O)N(C1=O)C)NC=N2,F,=,98.8,%
103532096,3366,C1=NC(=O)NC(=C1F)N,F,=,83.5,%
103537416,135413536,C[C@H](C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F)O[C@@H]2[C@@H](N(CCO2)CC3=NNC(=O)N3)C4=CC=C(C=C4)F,F,=,62.5,%
103543151,3476,CCC1=C(CN(C1=O)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCC(CC3)C)C,F,=,100,%
103546496,3961,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,F,=,33,%
103548420,135398744,CCCC1=NN(C2=C1N=C(NC2=O)C3=C(C=CC(=C3)S(=O)(=O)N4CCN(CC4)C)OCC)C,F,=,40,%
103554720,60823,CC(C)C1=C(C(=C(N1CC[C@H](C[C@H](CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,F,=,14,%
103556029,9815618,C[C@@H](CC1=CC(=CC=C1)C(F)(F)F)N,F,=,85,%
103556970,441207,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2O)O[C@@H]3[C@H](O[C@H](C[C@@H]3O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(CC[C@@H]7C8=CC(=O)OC8)O)C)C)C)C)O)O,F,=,88.5,%
103557031,5284570,CN1CC[C@]23[C@@H]4[C@H]1CC5=C2C(=C(C=C5)O)O[C@H]3C(=O)CC4,F,=,24,%
103557046,4485,CC1=C(C(C(=C(N1)C)C(=O)OC)C2=CC=CC=C2[N+](=O)[O-])C(=O)OC,F,=,50,%
103557047,4679,COC1=C(C(=NC=C1)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC(F)F)OC,F,=,77,%
103558372,123606,CN(C)CCC1=CNC2=C1C=C(C=C2)CS(=O)(=O)N3CCCC3,F,=,70,%
103558374,16048570,CC(C)COC[C@@H](CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,F,=,60,%
103558375,11276993,CCC1=CC=CC2=C1OC(=C2)[C@@H](CNC(C)(C)C)O,F,=,46,%
103558376,11448378,CCC1=CC=CC2=C1OC(=C2)[C@H](CNC(C)(C)C)O,F,=,46,%
103558377,688387,C[C@H](C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,F,=,70,%
103558378,667684,C[C@@H](C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,F,=,70,%
103558380,443382,CCCCCCCCCCCCCCCC(=O)OC[C@H]([C@@H](C1=CC=C(C=C1)[N+](=O)[O-])O)NC(=O)C(Cl)Cl,F,=,80,%
103558381,639540,CCN(CC)CCC[C@H](C)NC1=C2C=CC(=CC2=NC=C1)Cl,F,=,80,%
103558382,667689,C1=CC=C2C(=C1)C(=O)N[C@]2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O,F,=,64,%
103558383,9927232,CC(C)NC[C@H](COC1=CC=C(C=C1)OCCOCC2CC2)O,F,=,100,%
103558384,14550295,CC(C)NC[C@@H](COC1=CC=C(C=C1)OCCOCC2CC2)O,F,=,100,%
103558386,6101829,CN(C)CCC[C@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,F,=,80,%
103558387,146570,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,F,=,80,%
103558387,146570,CN(C)CCC[C@@]1(C2=C(CO1)C=C(C=C2)C#N)C3=CC=C(C=C3)F,F,=,80,%
103558389,36142239,C1=CC=C(C=C1)C2=N[C@H](C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,F,=,91,%
103558390,36142247,C1=CC=C(C=C1)C2=N[C@@H](C(=O)NC3=C2C=C(C=C3)Cl)C(=O)O,F,=,91,%
103558391,444810,CCN(CC)CCC[C@@H](C)NC1=C2C=CC(=CC2=NC=C1)Cl,F,=,80,%
103558398,11757268,CC(C)C[C@H]1C(=O)N2CCC[C@H]2[C@]3(N1C(=O)[C@](O3)(C)NC(=O)[C@@H]4CC5[C@@H](CC6=CNC7=CC=CC5=C67)N(C4)C)O,F,=,10,%
103558404,44445687,C[C@@H](CN1CCN(CC1)CCOCCO)CN2C3=CC=CC=C3SC4=CC=CC=C42,F,=,10,%
103558409,28248395,CCN1C[C@@H](C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,F,=,61,%
103558410,28248394,CCN1C[C@H](C(C1=O)(C2=CC=CC=C2)C3=CC=CC=C3)CCN4CCOCC4,F,=,61,%
